PredNum,PreyNum
27,24
80,24
2,24
45,24
43,24
38,24
61,24
49,24
45,25
80,25
38,25
43,25
61,25
80,66
87,66
31,66
43,66
38,66
61,66
60,66
27,9
38,9
43,9
87,9
31,9
45,9
80,9
61,9
34,34
45,1
38,1
61,1
2,1
80,1
27,1
58,1
43,1
39,1
49,1
31,1
38,82
2,82
2,23
61,23
60,23
43,23
27,23
31,23
27,13
61,13
43,13
27,53
31,53
2,53
39,53
61,11
14,11
49,11
2,11
60,11
27,11
31,11
45,11
31,78
2,78
103,76
105,76
104,76
102,76
103,63
102,63
104,63
48,63
105,63
42,16
45,16
37,16
17,16
14,16
41,16
55,16
71,16
31,16
57,16
47,16
43,16
29,37
15,37
51,37
102,12
51,12
15,12
105,12
103,12
104,12
44,22
22,22
15,22
51,22
37,22
50,22
44,15
102,15
104,15
51,15
103,15
15,15
105,15
22,48
50,48
79,48
43,48
2,43
51,43
44,43
15,43
103,43
62,43
43,43
50,43
37,43
104,43
105,43
102,43
79,43
14,43
22,43
18,43
22,73
37,73
15,73
102,46
15,46
27,46
37,46
104,46
51,46
44,46
103,46
22,46
105,46
79,72
40,40
105,18
102,18
51,18
103,18
104,18
79,51
104,51
51,51
103,51
102,51
105,51
50,52
37,52
38,52
12,52
17,52
22,52
14,52
43,52
79,52
102,52
71,52
96,52
105,52
103,52
52,52
86,52
30,52
104,52
44,52
95,100
96,100
52,100
46,100
92,100
16,100
5,100
47,67
52,67
34,67
49,67
17,67
27,67
31,67
5,67
86,67
61,67
80,67
48,67
54,67
101,67
2,67
81,67
99,67
57,67
71,67
72,67
38,67
64,67
96,67
16,67
60,67
6,67
39,67
68,67
43,67
76,67
46,67
95,67
41,67
92,67
73,67
14,67
3,67
20,67
37,67
45,67
7,67
44,67
64,98
48,98
96,98
5,98
52,98
71,99
49,99
48,99
96,99
57,99
14,99
86,99
101,99
17,99
2,99
99,99
7,99
60,99
31,99
101,101
96,101
99,101
52,101
48,101
41,101
96,92
99,92
86,92
101,92
41,92
92,92
73,92
27,92
52,92
17,92
95,92
55,21
31,21
86,86
17,86
61,86
31,86
48,86
37,86
45,86
49,86
44,86
71,86
41,86
14,86
96,86
43,86
37,71
71,71
37,35
29,35
37,29
37,57
62,79
57,79
71,79
22,6
40,6
51,6
14,6
15,6
12,6
4,6
19,6
79,6
30,6
12,65
102,65
105,65
103,65
15,65
104,65
51,65
44,65
40,81
15,60
22,60
51,60
79,60
40,60
71,60
12,60
74,74
74,19
34,93
95,93
64,93
96,93
2,93
52,93
61,93
27,93
6,93
92,93
60,93
31,93
41,41
19,41
48,41
74,41
85,41
62,41
86,41
2,10
27,10
43,10
49,10
61,10
31,10
39,10
38,10
17,10
5,10
60,10
37,10
58,10
68,10
19,49
74,49
51,49
79,49
49,49
85,49
14,85
2,8
43,8
31,8
27,8
61,8
6,90
27,90
61,90
2,90
38,90
39,90
51,68
62,68
19,68
50,26
50,87
51,87
12,38
15,38
22,38
102,38
44,38
104,38
105,38
51,38
71,38
103,38
22,80
51,80
31,80
43,80
18,80
51,2
22,2
12,2
44,2
71,2
40,2
52,2
4,2
79,2
15,2
50,50
15,50
43,50
22,69
51,69
103,30
44,30
14,30
12,30
22,30
43,30
102,30
19,30
104,30
105,30
17,30
61,30
51,30
15,30
12,4
44,62
43,62
22,62
79,62
62,62
12,47
22,47
37,47
40,47
50,47
37,31
51,31
12,31
43,31
103,31
102,31
15,31
104,31
50,31
22,31
105,31
51,17
22,17
15,17
69,5
29,5
14,5
103,5
22,5
30,5
4,5
105,5
44,5
50,5
104,5
51,5
12,5
7,5
102,5
79,5
15,5
71,5
45,5
62,5
15,83
105,83
104,83
44,83
103,83
102,83
12,83
51,83
105,89
12,89
102,89
103,89
104,89
15,89
22,64
105,64
102,64
104,64
103,64
15,64
51,64
44,64
49,64
27,64
85,64
79,64
103,75
105,75
104,75
51,75
12,75
102,75
15,75
44,75
71,75
12,77
102,77
103,77
104,77
22,77
48,77
105,77
15,77
44,77
15,88
102,88
105,88
104,88
103,88
57,20
30,33
69,33
22,33
31,33
19,33
60,33
6,33
15,33
44,28
12,28
15,28
12,3
22,3
30,3
60,3
19,3
4,3
71,3
15,3
69,3
51,3
6,3
69,7
4,7
12,7
30,7
51,7
22,7
6,7
71,7
15,7
60,7
19,7
18,39
40,39
18,61
45,61
40,61
34,27
18,27
48,27
41,27
49,27
57,27
51,27
44,27
27,27
40,27
62,27
85,27
86,27
79,96
86,96
51,96
48,96
103,14
44,14
102,14
15,14
104,14
105,14
51,14
22,14
14,14
71,14
104,45
105,45
51,45
103,45
71,45
102,45
86,45
44,45
43,45
40,45
15,44
103,44
44,44
104,44
51,44
105,44
71,44
102,44
40,44
62,44
86,95
96,95
95,95
64,95
92,95
52,95
27,95
5,95
2,56
60,56
38,56
6,56
61,56
80,56
17,56
80,84
2,84
31,84
61,84
27,84
17,59
2,59
60,59
38,59
31,59
6,59
17,36
60,36
43,36
47,36
6,36
87,36
31,36
2,36
38,36
48,94
71,94
27,94
34,94
76,94
52,94
14,94
63,94
96,94
64,94
3,94
57,94
37,94
44,94
41,94
73,94
65,94
49,94
5,94
89,94
43,94
2,94
61,94
60,94
72,94
86,94
51,94
39,94
46,94
80,94
32,94
20,94
18,94
28,94
50,94
85,94
68,94
26,94
55,94
45,94
83,94
70,94
21,94
15,94
62,94
75,94
77,94
35,94
7,94
17,94
88,94
33,94
31,91
87,91
2,91
43,91
54,91
80,91
81,91
27,91
47,91
17,91
38,91
6,91
60,91
58,91
