PredNum,PreyNum
21,6
72,6
59,6
27,6
59,16
35,16
52,16
61,16
46,16
21,16
8,16
72,16
90,16
59,51
8,51
35,51
61,79
46,79
72,79
35,79
59,79
24,38
59,38
80,38
46,38
72,38
35,38
27,38
35,87
59,87
46,87
72,87
61,87
90,87
30,87
72,15
59,15
46,15
80,15
21,15
35,15
24,15
61,15
90,56
8,56
59,56
21,56
33,33
72,1
46,1
5,1
21,1
35,1
8,1
90,1
52,1
59,1
61,1
89,1
75,1
24,1
35,39
89,39
21,39
61,39
90,39
8,39
35,3
8,3
8,64
21,64
72,64
59,64
90,64
24,64
27,64
60,20
21,20
24,20
37,20
59,20
72,20
35,20
80,20
24,19
21,71
59,71
72,71
8,11
89,11
21,11
24,11
27,18
21,18
61,18
72,18
29,18
8,18
52,18
24,18
8,73
24,73
76,23
37,23
24,23
59,23
54,23
29,23
42,23
60,23
61,23
40,23
43,76
30,76
44,76
50,41
105,41
103,41
104,41
44,41
30,41
31,65
70,65
44,65
65,65
76,65
30,65
105,44
44,44
30,44
103,44
104,44
68,44
70,44
50,44
44,59
105,59
70,59
103,59
30,59
31,59
104,59
50,59
76,59
53,59
29,59
69,59
65,59
62,59
8,59
78,59
59,59
76,88
44,88
65,88
44,67
76,67
105,67
65,67
70,67
30,67
103,67
104,67
21,67
50,67
31,82
59,82
70,82
81,81
105,53
30,53
104,53
103,53
50,53
30,30
105,30
78,30
103,30
104,30
50,30
45,55
55,55
76,55
103,55
70,55
29,55
31,55
41,55
35,55
97,55
37,55
105,55
59,55
50,55
40,55
65,55
104,55
83,55
55,101
93,101
96,101
97,101
63,101
23,101
67,101
33,91
55,91
29,91
75,91
59,91
21,91
23,91
7,91
52,91
63,91
8,91
66,91
27,91
89,91
76,91
100,91
88,91
67,91
102,91
72,91
54,91
46,91
96,91
97,91
93,91
22,91
60,91
83,91
35,91
24,91
90,91
85,91
37,91
61,91
40,91
4,91
70,91
9,91
72,13
70,13
68,13
21,13
61,13
52,13
97,99
55,99
63,99
97,100
52,100
83,100
37,100
40,100
29,100
9,100
102,100
27,100
100,100
8,100
24,100
97,102
54,102
100,102
55,102
102,102
83,93
21,93
97,93
55,93
93,93
100,93
37,93
102,93
88,93
96,93
54,93
24,28
42,28
83,83
29,83
54,83
97,83
40,83
24,83
37,83
61,83
72,83
59,83
76,83
70,83
52,83
76,40
40,40
76,34
43,34
76,43
105,78
78,78
104,78
50,78
44,78
30,78
103,78
65,75
30,75
44,75
81,75
30,7
65,7
81,7
41,7
45,7
86,7
44,7
29,7
50,48
103,48
104,48
105,48
30,48
41,48
44,48
78,48
70,48
81,66
44,27
65,27
30,27
41,27
81,27
40,27
8,94
7,94
96,94
33,94
24,94
97,94
72,94
55,94
21,94
75,94
90,94
93,94
27,94
54,54
84,54
62,54
69,54
83,54
21,12
8,12
27,12
72,12
35,12
59,12
89,12
37,12
90,12
52,12
24,12
5,12
85,12
76,12
63,12
30,52
84,52
52,52
29,84
59,2
8,2
72,2
21,2
75,2
24,2
62,85
30,85
69,85
31,32
59,57
35,57
21,57
8,57
72,57
31,80
30,80
44,35
65,35
70,35
103,35
41,35
105,35
30,35
104,35
50,35
40,35
65,46
24,46
30,46
53,46
59,46
70,8
65,8
81,8
30,8
40,8
41,8
78,8
55,8
86,8
44,8
82,8
44,31
31,31
59,31
30,36
65,36
30,45
70,45
41,45
103,45
105,45
65,45
44,45
104,45
37,45
50,45
72,45
59,45
29,45
41,86
78,86
62,69
62,62
69,69
69,62
65,69
65,62
70,69
70,62
59,69
59,62
65,60
81,60
78,60
31,60
41,60
76,60
30,24
59,24
44,24
41,24
76,24
103,24
31,24
104,24
65,24
105,24
50,24
65,37
30,37
44,37
70,63
86,63
104,63
40,63
36,63
50,63
30,63
78,63
103,63
105,63
41,63
65,63
69,63
62,63
45,63
44,63
43,63
9,63
29,63
31,63
61,63
50,74
103,74
105,74
44,74
70,74
104,74
30,74
41,74
44,49
78,49
103,49
41,49
50,49
104,49
105,49
30,49
70,49
40,49
41,47
103,47
104,47
50,47
105,47
65,47
70,47
44,47
44,10
65,10
36,10
45,10
7,10
75,10
24,10
27,10
41,77
75,77
44,77
70,77
27,4
41,4
36,4
40,4
45,4
30,4
44,4
65,4
86,4
75,4
7,4
45,9
36,9
65,9
40,9
41,9
78,9
30,9
75,9
86,9
44,9
27,9
7,9
53,89
81,89
61,72
81,72
53,72
90,90
53,21
33,21
52,21
54,21
83,21
21,21
62,21
70,21
69,21
81,21
84,21
30,21
30,97
83,97
44,29
70,29
103,29
30,29
50,29
104,29
40,29
105,29
65,29
29,29
78,61
104,61
105,61
50,61
30,61
103,61
83,61
70,61
59,61
40,61
81,61
50,68
103,68
105,68
104,68
78,68
30,68
43,68
103,70
70,70
30,70
105,70
104,70
50,70
78,70
40,70
62,70
69,70
81,70
44,70
93,96
55,96
21,96
96,96
97,96
63,96
83,96
8,14
46,14
24,14
21,14
72,14
27,58
8,58
90,58
37,58
35,58
7,58
24,58
60,17
80,17
8,17
37,17
59,17
24,17
27,17
7,17
35,17
21,95
63,95
26,95
97,95
85,95
29,95
55,95
40,95
84,95
89,95
67,95
82,95
44,95
54,95
52,95
70,95
9,95
72,95
33,95
69,95
83,95
47,95
62,95
4,95
31,95
46,95
30,95
28,95
8,95
32,95
59,95
27,95
74,95
49,95
53,95
25,95
34,95
42,95
90,95
88,95
77,95
10,95
61,95
37,95
76,95
48,95
7,92
59,92
8,92
5,92
60,92
22,92
21,92
66,92
80,92
35,92
27,92
37,92
24,92
46,92
75,92
