PredNum,PreyNum
19,69
46,69
53,69
75,69
21,69
39,69
66,69
24,69
44,69
46,61
39,61
19,61
75,65
21,65
19,65
46,65
71,65
53,65
19,86
75,86
31,86
46,86
21,86
53,86
44,86
19,3
11,3
24,3
75,3
21,3
53,3
46,3
62,3
71,3
46,87
24,87
39,87
44,87
64,64
39,1
44,1
21,1
24,1
19,1
11,1
75,1
46,1
66,1
16,1
53,1
20,1
79,1
19,60
39,60
21,34
44,34
46,34
11,34
7,34
39,34
24,34
62,59
21,59
14,59
19,59
11,59
55,59
24,59
46,59
21,4
24,4
46,4
39,33
16,33
11,33
24,33
71,38
53,38
21,38
23,38
39,38
66,38
11,38
7,38
24,38
39,32
11,32
100,77
101,77
102,77
103,77
73,77
46,18
53,18
10,18
84,18
78,18
11,18
14,18
55,18
23,18
47,18
22,18
48,84
31,84
57,84
31,9
48,9
101,9
102,9
100,9
103,9
56,17
51,17
48,17
17,17
31,17
84,17
31,63
103,48
31,48
100,48
102,48
56,48
48,48
101,48
72,48
51,73
17,73
46,73
17,46
103,46
51,46
39,46
102,46
23,46
101,46
31,46
100,46
48,46
56,46
29,46
84,46
46,46
25,46
48,52
84,52
17,52
48,15
102,15
103,15
56,15
84,15
101,15
17,15
100,15
31,15
24,15
31,25
103,25
101,25
102,25
100,25
102,31
31,31
100,31
101,31
103,31
51,68
9,68
84,68
23,68
19,68
63,68
94,68
46,68
68,68
56,68
83,68
101,68
103,68
47,68
55,68
10,68
102,68
100,68
17,68
80,68
68,98
18,98
93,98
94,98
90,98
15,98
5,98
68,88
97,88
79,88
24,88
83,88
7,88
66,88
14,88
73,88
5,88
10,88
94,88
16,88
19,88
23,88
11,88
44,88
26,88
84,88
82,88
21,88
39,88
93,88
90,88
15,88
46,88
22,88
85,88
55,88
64,88
75,88
35,88
99,88
18,88
54,88
52,88
2,88
6,88
56,88
53,88
94,96
68,96
5,96
73,96
73,97
97,97
55,97
83,97
94,97
11,97
66,97
2,97
23,97
39,97
10,97
99,97
7,97
94,99
97,99
22,99
73,99
99,99
68,99
94,90
99,90
83,90
52,90
24,90
55,90
90,90
68,90
93,90
97,90
22,90
76,41
76,27
78,27
11,27
83,83
55,83
47,83
66,83
46,83
53,83
73,83
23,83
21,83
10,83
84,83
22,83
94,83
56,83
11,83
84,10
47,10
10,10
84,58
57,58
84,57
50,79
17,79
48,79
31,79
48,35
80,35
9,35
31,35
50,35
23,35
17,35
45,35
101,49
102,49
103,49
9,49
100,49
31,49
48,49
56,49
9,7
48,7
31,7
17,7
10,7
31,81
93,91
11,91
64,91
68,91
39,91
24,91
94,91
21,91
7,91
44,91
79,91
35,91
90,91
22,22
29,22
83,22
50,22
73,22
24,42
71,42
19,42
39,42
21,42
16,42
55,42
20,42
46,42
11,42
84,42
26,42
66,42
7,42
5,42
44,42
50,66
66,66
31,66
24,8
46,8
79,8
39,8
11,8
71,8
21,8
21,43
39,43
16,43
44,43
24,43
35,43
79,43
19,43
50,26
29,26
31,26
51,40
63,62
31,62
51,62
31,19
56,19
17,19
48,19
101,19
9,19
100,19
103,19
102,19
10,19
17,75
46,75
25,75
31,75
11,75
56,39
45,39
31,39
17,39
48,39
10,39
68,39
81,39
9,39
46,51
48,51
51,51
71,51
55,80
23,80
103,80
21,80
101,80
50,80
17,80
56,80
102,80
9,80
46,80
100,80
48,80
31,80
9,45
17,29
56,29
29,29
46,29
47,47
17,14
9,14
84,14
51,14
63,14
31,11
84,11
9,11
102,11
46,11
101,11
48,11
17,11
51,11
63,11
100,11
103,11
48,55
17,55
31,55
63,55
101,71
102,71
103,71
31,71
48,71
100,71
51,71
31,5
80,5
9,5
17,5
10,5
101,5
45,5
100,5
48,5
103,5
102,5
56,5
53,5
57,5
2,5
29,5
23,5
51,5
100,13
56,13
9,13
103,13
101,13
102,13
48,13
31,13
100,74
9,74
102,74
103,74
101,74
10,74
56,74
31,74
48,74
79,28
80,28
48,28
17,28
35,28
11,28
7,28
50,28
9,70
56,70
48,70
79,70
48,6
10,6
17,6
50,6
9,6
80,6
35,6
79,6
45,6
7,6
31,6
17,2
80,2
9,2
31,2
10,2
45,2
79,2
7,2
48,2
50,2
35,2
25,16
81,21
25,21
53,21
44,44
64,24
22,24
73,24
24,24
81,24
29,24
25,24
56,24
83,24
31,24
66,24
83,94
31,94
73,94
31,23
100,23
56,23
103,23
102,23
17,23
10,23
101,23
23,23
48,23
56,53
101,53
102,53
100,53
103,53
46,53
10,53
31,53
83,53
103,72
101,72
102,72
31,72
100,72
57,72
101,56
103,56
100,56
56,56
102,56
31,56
10,56
48,56
29,56
68,93
24,93
93,93
5,93
94,93
90,93
83,93
35,36
75,36
71,36
19,36
44,36
55,36
7,36
21,36
79,36
39,36
11,67
75,67
39,67
21,67
24,67
39,37
11,37
55,37
44,37
7,37
19,37
35,37
14,12
35,12
7,12
62,12
46,12
19,12
55,12
11,12
39,12
64,92
73,92
23,92
24,92
5,92
84,92
10,92
39,92
68,92
56,92
13,92
54,92
49,92
77,92
47,92
7,92
22,92
44,92
29,92
94,92
26,92
66,92
16,92
46,92
75,92
21,92
15,92
52,92
31,92
51,92
70,92
48,92
6,92
2,92
27,92
78,92
25,92
53,92
83,92
85,92
30,92
40,92
55,92
74,92
41,92
28,92
58,92
55,89
75,89
82,89
39,89
79,89
19,89
71,89
11,89
62,89
35,89
7,89
46,89
24,89
20,89
14,89
