PredNum,PreyNum
16,76
12,76
13,76
43,76
35,56
43,56
12,56
37,56
70,56
43,20
37,20
19,20
16,20
62,20
12,20
35,20
71,71
8,1
37,1
16,1
12,1
84,1
43,1
70,1
19,1
17,1
63,1
68,1
35,1
70,9
8,9
12,9
43,9
16,9
19,9
13,9
16,55
12,55
46,55
43,55
19,55
32,55
37,55
62,55
19,30
43,4
16,4
12,4
8,21
16,21
19,21
68,21
8,25
13,25
35,25
11,25
84,25
16,25
19,25
12,25
8,61
19,61
99,47
69,47
98,47
100,47
32,22
54,22
31,22
19,22
41,22
43,22
46,22
51,22
11,22
35,22
98,81
52,81
69,81
99,81
100,81
42,40
86,40
52,40
40,40
69,52
42,52
75,52
100,52
99,52
98,52
52,52
99,43
98,43
42,43
52,43
69,43
100,43
43,43
38,43
86,43
74,43
8,43
40,43
77,43
11,43
49,43
40,45
52,45
69,15
52,15
40,15
42,15
100,15
99,15
16,15
98,15
50,50
100,49
99,49
98,49
69,49
86,36
81,36
43,36
99,36
69,36
36,36
11,36
46,36
100,36
77,36
42,36
37,36
98,36
40,36
31,36
92,36
36,96
92,96
59,96
88,96
15,96
91,96
7,96
22,96
13,82
36,82
71,82
84,82
59,82
64,82
12,82
68,82
91,82
92,82
37,82
8,82
16,82
95,82
97,82
88,82
48,82
83,82
7,82
63,82
32,82
45,82
41,82
5,82
43,82
31,82
19,82
11,82
46,82
15,82
6,82
57,82
3,82
47,82
22,82
70,82
42,82
35,82
92,94
36,94
7,94
59,94
92,95
13,95
95,95
84,95
11,95
5,95
19,95
31,95
97,95
8,95
59,95
46,95
92,97
41,97
97,97
59,97
36,97
95,97
92,88
88,88
41,88
36,88
91,88
46,88
97,88
45,88
95,88
16,88
53,79
53,28
51,28
19,28
31,31
33,29
74,77
59,77
31,77
38,77
40,63
52,63
77,63
50,63
67,63
40,6
81,6
52,6
60,6
50,6
67,6
11,6
77,6
98,80
69,80
99,80
100,80
42,80
52,80
81,80
50,64
40,13
52,13
31,13
77,13
50,13
81,13
71,89
16,89
36,89
19,89
63,89
91,89
88,89
70,89
8,89
12,89
6,89
92,89
13,89
67,41
41,41
44,41
74,41
38,41
16,2
70,2
8,2
13,2
68,2
43,2
12,2
19,2
84,2
37,2
46,2
48,2
7,2
59,2
17,2
67,84
77,84
44,84
84,84
11,44
8,24
19,24
43,24
63,24
12,24
16,24
8,73
12,73
16,73
37,73
68,73
70,73
63,73
6,73
38,48
67,48
74,48
86,26
86,62
52,37
69,37
98,37
99,37
31,37
40,37
42,37
81,37
100,37
50,8
40,8
42,8
36,8
52,8
81,8
77,8
31,8
60,8
11,59
42,59
40,59
19,59
43,86
86,86
52,86
40,34
81,60
40,58
31,58
40,38
40,74
77,38
77,74
38,38
38,74
42,38
42,74
74,38
74,74
43,38
43,74
86,32
40,32
81,32
50,32
40,19
86,19
81,19
98,19
69,19
100,19
43,19
99,19
52,19
40,46
52,46
100,7
69,7
34,7
42,7
5,7
40,7
98,7
31,7
11,7
99,7
60,7
81,7
77,7
52,7
86,7
33,7
35,7
74,7
38,7
100,72
98,72
99,72
69,72
42,72
81,72
52,72
99,23
100,23
81,23
69,23
98,23
52,23
100,85
31,85
99,85
81,85
52,85
69,85
98,85
42,85
34,18
40,18
52,18
63,18
13,18
6,18
67,18
19,18
63,14
42,14
81,14
52,14
52,3
63,3
81,3
31,3
60,3
40,3
34,3
67,3
6,3
13,3
13,5
34,5
60,5
81,5
40,5
63,5
52,5
67,5
31,5
6,5
49,68
50,68
49,12
50,12
35,12
70,70
71,16
42,16
84,16
49,16
50,16
38,16
74,16
41,16
44,16
16,16
77,92
31,11
98,11
99,11
42,11
11,11
69,11
100,11
40,11
52,11
69,35
42,35
99,35
100,35
98,35
50,35
31,35
43,35
100,75
98,75
33,75
69,75
99,75
98,42
42,42
99,42
100,42
69,42
50,42
31,42
74,42
38,42
52,42
91,91
16,91
88,91
59,91
92,91
36,91
7,91
12,65
37,65
6,65
8,65
63,65
13,65
70,65
46,65
8,66
16,66
12,66
19,66
46,39
70,39
13,39
19,39
8,39
37,39
6,39
32,27
46,27
19,27
43,27
37,27
6,27
62,27
13,27
8,27
5,90
41,90
48,90
31,90
68,90
92,90
59,90
71,90
13,90
16,90
70,90
15,90
44,90
42,90
38,90
36,90
84,90
86,90
11,90
43,90
7,90
46,90
12,90
18,90
74,90
35,90
10,90
45,90
8,90
80,90
3,90
79,90
28,90
85,90
23,90
29,90
72,90
52,90
14,90
26,90
58,90
49,90
57,90
51,90
47,90
63,87
64,87
46,87
8,87
37,87
6,87
13,87
19,87
43,87
16,87
62,87
83,87
32,87
17,87
6,78
37,78
13,78
42,78
19,78
43,78
8,78
