PredNum,PreyNum
31,42
22,42
57,42
39,42
67,42
28,42
9,42
32,42
62,42
32,43
39,43
67,43
31,43
22,43
44,43
62,43
28,8
31,8
32,8
14,8
22,8
67,8
71,8
39,8
59,59
31,1
32,1
22,1
67,1
9,1
28,1
57,1
26,1
60,1
39,1
62,1
14,1
9,24
28,24
22,24
62,24
29,24
67,24
14,24
28,66
67,66
38,66
14,66
22,66
71,66
33,66
31,66
14,76
28,23
67,23
22,23
28,18
9,18
14,18
9,16
28,16
14,16
29,16
22,16
39,16
57,16
13,16
9,5
14,5
79,37
13,37
14,37
39,37
38,37
33,37
40,37
10,37
67,37
80,37
41,36
98,36
99,36
97,36
44,36
73,36
44,45
41,45
70,45
45,45
44,77
44,41
73,41
98,41
70,41
97,41
41,41
99,41
67,82
45,82
99,67
73,67
56,67
97,67
47,67
98,67
44,67
53,67
41,67
70,67
45,67
67,67
9,67
13,67
41,46
45,46
58,58
44,47
99,47
97,47
73,47
98,47
44,44
97,44
99,44
73,44
98,44
36,54
98,54
13,54
67,54
91,54
99,54
31,54
38,54
54,54
73,54
97,54
77,54
45,54
70,54
35,54
10,54
90,95
54,95
87,95
83,95
91,95
37,95
3,95
21,85
28,85
9,85
22,85
38,85
60,85
29,85
54,85
67,85
90,85
96,85
37,85
91,85
31,85
80,85
48,85
87,85
94,85
57,85
68,85
17,85
83,85
33,85
59,85
32,85
14,85
3,85
39,85
13,85
82,85
11,85
46,85
10,85
70,85
2,85
52,85
62,85
70,12
22,12
28,12
39,12
57,12
91,93
54,93
3,93
82,93
83,93
94,94
38,94
82,94
96,94
13,94
91,94
57,94
9,94
10,94
29,94
83,94
14,94
2,94
91,96
82,96
94,96
80,96
83,96
96,96
54,96
91,87
87,87
46,87
54,87
96,87
80,87
90,87
94,87
38,87
28,87
40,15
14,15
81,10
10,10
81,20
19,20
81,19
78,60
58,60
44,60
45,60
41,60
45,21
64,21
36,21
58,21
78,21
35,21
41,21
44,21
13,21
98,49
99,49
97,49
41,49
73,49
36,49
44,49
70,49
58,17
58,29
44,29
41,29
36,29
10,29
45,29
90,88
21,88
28,88
62,88
29,88
91,88
54,88
9,88
59,88
22,88
14,88
60,88
87,88
80,80
82,80
78,80
56,80
53,80
9,7
22,7
28,7
29,7
67,7
62,7
38,7
14,7
31,7
57,7
3,7
26,7
52,7
83,7
44,57
78,57
57,57
60,27
9,27
28,27
67,27
22,27
14,27
53,52
44,52
56,52
78,52
77,71
44,71
41,31
73,31
36,31
45,31
44,31
70,31
98,31
10,31
97,31
99,31
45,32
44,32
47,32
14,32
67,32
44,9
41,9
58,9
45,9
54,9
70,9
36,9
10,9
64,9
13,83
70,83
45,83
77,83
14,83
44,30
45,30
36,35
73,35
41,35
45,35
70,35
78,35
98,35
22,35
38,35
99,35
97,35
67,35
13,35
44,35
36,64
45,75
10,75
45,56
45,53
67,56
67,53
56,56
56,53
53,56
53,53
70,56
70,53
36,33
45,33
58,33
77,33
45,14
99,14
44,14
73,14
77,14
98,14
36,14
41,14
67,14
97,14
44,38
41,38
77,38
45,38
35,3
99,3
36,3
44,3
97,3
45,3
30,3
98,3
70,3
10,3
73,3
64,3
19,3
41,3
39,3
56,3
13,3
53,3
2,3
99,74
97,74
41,74
73,74
98,74
44,74
36,74
70,74
97,50
36,50
41,50
73,50
70,50
10,50
98,50
99,50
44,50
45,51
36,51
82,51
41,51
99,51
97,51
98,51
73,51
70,51
98,69
41,69
97,69
99,69
73,69
77,69
30,4
29,4
45,4
60,4
21,4
41,4
35,4
14,4
78,4
36,63
70,63
41,63
60,63
30,11
44,11
78,11
21,11
35,11
45,11
36,11
29,11
10,11
64,11
41,11
60,11
60,2
41,2
30,2
35,2
36,2
10,2
45,2
44,2
64,2
21,2
78,2
29,2
39,22
47,22
58,22
62,62
82,28
47,28
57,28
58,28
80,28
44,28
59,28
56,28
70,28
53,28
28,28
82,91
44,91
41,13
98,13
44,13
73,13
70,13
99,13
97,13
45,13
13,13
10,13
73,39
98,39
97,39
44,39
10,39
99,39
70,39
58,39
67,39
97,70
70,70
73,70
98,70
99,70
44,70
58,70
10,70
41,70
53,70
56,70
87,90
90,90
28,90
3,90
91,90
54,90
83,90
32,25
21,25
31,25
60,25
62,25
9,25
22,25
38,25
29,25
28,65
14,65
9,65
22,65
32,65
31,72
14,72
29,72
62,72
9,72
38,72
21,72
71,6
38,6
67,6
33,6
31,6
29,6
21,6
9,6
14,6
82,89
59,89
52,89
34,89
28,89
67,89
40,89
83,89
10,89
57,89
9,89
91,89
54,89
80,89
3,89
38,89
13,89
55,89
15,89
56,89
29,89
70,89
62,89
44,89
32,89
46,89
69,89
61,89
53,89
39,89
11,89
47,89
41,89
22,89
49,89
74,89
2,89
50,89
51,89
75,89
48,89
4,89
63,89
20,89
33,86
26,86
28,86
68,86
32,86
21,86
14,86
60,86
9,86
29,86
71,86
17,86
67,86
38,86
31,86
29,84
9,84
21,84
31,84
70,84
14,84
67,84
